id_rented,student,date,devolution,book,librarian,price
101,297,2023-11-12,2024-03-19,217,553,3
102,456,2023-09-06,2020-08-10,498,435,4
103,621,2023-12-12,2021-11-06,673,76,2
104,33,2023-11-05,2019-08-15,79,122,1
105,245,2024-02-11,2021-08-28,294,518,3
106,493,2023-11-20,2021-06-26,456,818,1
107,857,2023-06-14,2023-05-20,850,43,2
108,940,2023-06-30,2019-12-07,206,869,5
109,615,2024-03-10,2022-03-05,634,440,1
110,222,2024-05-19,2023-08-11,572,363,4
111,292,2024-03-27,2019-10-27,428,363,2
112,931,2023-11-13,2022-03-13,46,792,1
113,422,2024-04-10,2021-06-03,16,977,3
114,453,2023-06-28,2021-07-14,141,943,3
115,289,2024-02-16,2024-03-17,34,425,5
116,741,2024-05-19,2022-03-27,675,973,2
117,140,2023-05-26,2020-03-21,171,515,5
118,959,2024-05-15,2022-04-29,123,785,2
119,569,2024-01-27,2022-07-19,771,288,3
120,432,2023-08-06,2020-12-07,551,160,4
121,280,2024-01-18,2021-08-06,70,492,4
122,710,2023-07-17,2020-05-20,566,903,3
123,928,2023-06-08,2021-05-10,952,710,5
124,358,2024-02-28,2022-07-16,87,377,2
125,305,2024-01-25,2021-12-12,720,99,1
126,515,2023-08-16,2020-05-09,709,428,1
127,903,2023-12-05,2021-05-30,753,96,1
128,910,2023-09-12,2019-10-28,718,227,3
129,868,2023-11-29,2021-03-03,203,965,4
130,991,2023-10-24,2020-10-12,998,4,4
131,502,2023-10-04,2021-05-10,138,234,5
132,86,2024-05-19,2019-12-03,648,468,3
133,852,2024-05-09,2019-11-23,432,704,1
134,609,2024-05-04,2021-11-26,71,280,3
135,526,2023-09-22,2023-01-01,174,275,1
136,149,2024-04-05,2023-05-07,379,526,1
137,275,2023-07-15,2022-02-12,166,54,2
138,496,2023-12-22,2023-10-28,644,120,3
139,270,2023-07-24,2021-10-31,361,188,4
140,901,2023-09-01,2023-01-02,533,98,4
141,301,2023-07-16,2023-11-14,594,686,4
142,357,2024-03-20,2022-02-01,846,357,5
143,432,2023-05-23,2023-02-18,197,658,4
144,630,2023-09-03,2020-02-15,48,430,2
145,939,2024-01-23,2020-01-07,399,366,5
146,688,2024-02-10,2021-07-02,613,364,1
147,546,2023-06-13,2021-02-02,773,321,2
148,758,2024-05-15,2023-12-03,215,317,1
149,601,2023-10-07,2019-12-23,461,903,2
150,909,2024-02-27,2021-05-09,850,620,3
151,553,2023-06-04,2021-03-20,260,279,1
152,904,2023-06-11,2023-03-22,635,548,2
153,957,2024-05-10,2021-07-11,669,481,3
154,292,2024-02-01,2021-03-18,210,76,3
155,293,2024-05-02,2019-11-25,998,433,3
156,747,2024-02-16,2022-12-15,349,230,1
157,911,2023-08-24,2022-11-29,684,221,5
158,40,2024-04-08,2023-06-30,522,564,1
159,941,2023-11-15,2023-05-29,99,578,4
160,519,2023-08-21,2021-10-27,36,773,3
161,433,2023-06-27,2023-12-12,668,533,2
162,889,2023-06-26,2022-07-03,100,518,3
163,759,2024-01-28,2023-01-13,900,947,1
164,482,2024-03-04,2020-01-31,995,229,2
165,90,2023-08-24,2023-12-10,857,47,4
166,920,2023-11-18,2022-03-30,235,921,3
167,303,2024-01-24,2020-08-20,476,587,2
168,135,2023-07-13,2023-11-18,469,523,2
169,249,2024-01-05,2021-12-05,192,933,5
170,555,2023-07-29,2023-11-27,463,285,1
171,408,2023-09-15,2022-08-03,378,32,3
172,276,2024-01-27,2021-11-05,168,208,1
173,616,2023-06-13,2021-01-26,829,178,2
174,989,2023-12-10,2021-07-01,63,186,5
175,644,2023-12-14,2020-04-04,530,527,4
176,859,2023-07-28,2020-06-07,421,934,2
177,372,2023-08-25,2022-09-25,905,826,4
178,853,2024-01-30,2023-05-27,99,716,2
179,586,2024-02-01,2021-06-22,863,489,2
180,614,2023-10-22,2020-11-24,824,358,2
181,160,2024-01-14,2022-02-25,402,773,1
182,202,2023-09-12,2022-06-11,288,83,5
183,386,2023-12-05,2022-05-04,719,986,2
184,90,2023-06-12,2023-05-12,117,907,1
185,262,2023-09-20,2021-09-07,671,926,4
186,108,2024-01-29,2024-04-14,283,4,5
187,787,2023-12-31,2021-02-23,153,463,5
188,191,2023-06-08,2021-01-24,655,700,4
189,268,2024-03-09,2024-02-07,697,42,2
190,105,2024-01-29,2021-01-12,378,683,1
191,673,2023-11-24,2022-07-10,725,671,1
192,709,2023-09-06,2019-10-15,912,416,4
193,866,2023-11-09,2020-06-02,483,360,4
194,984,2023-08-29,2023-05-26,914,639,4
195,660,2023-08-10,2023-03-19,82,584,3
196,182,2023-06-07,2023-01-10,127,280,1
197,242,2024-02-13,2022-09-06,999,585,2
198,465,2023-10-15,2021-09-14,8,238,5
199,608,2023-10-05,2019-12-12,448,468,5
200,218,2023-09-28,2020-04-10,133,720,1
201,137,2023-11-26,2023-02-02,356,288,3
202,346,2024-03-31,2020-11-29,357,436,4
203,86,2024-02-24,2019-10-30,814,649,3
204,735,2024-01-24,2021-05-18,211,277,5
205,11,2024-01-12,2020-11-16,988,389,5
206,787,2024-04-04,2020-05-29,946,114,5
207,249,2024-05-01,2024-04-28,118,908,5
208,250,2024-02-02,2022-01-28,446,833,1
209,299,2023-08-06,2023-01-25,981,176,2
210,949,2023-10-24,2023-01-24,336,624,3
211,744,2024-03-19,2023-09-24,523,12,2
212,792,2023-11-09,2020-11-14,958,14,5
213,903,2024-03-21,2022-04-10,1000,326,2
214,656,2023-07-24,2023-09-24,282,231,4
215,526,2023-12-31,2020-06-05,486,763,5
216,936,2024-05-10,2019-10-08,533,715,4
217,133,2023-07-09,2023-05-21,321,530,2
218,598,2023-11-07,2024-03-07,537,809,3
219,29,2023-07-08,2021-07-25,414,804,2
220,167,2023-11-20,2019-12-27,15,384,1
221,575,2023-09-04,2023-01-09,669,734,2
222,183,2023-08-29,2024-03-13,627,118,4
223,128,2023-10-03,2022-02-15,590,786,3
224,253,2024-04-23,2022-12-26,842,741,1
225,202,2024-02-01,2023-08-17,568,989,5
226,737,2023-08-30,2022-05-11,295,817,4
227,305,2024-01-30,2022-10-26,650,92,5
228,523,2023-12-03,2022-09-26,166,810,3
229,450,2023-12-18,2021-10-01,11,952,3
230,971,2023-08-01,2023-07-17,134,192,4
231,172,2023-07-20,2020-06-07,598,133,2
232,461,2024-04-08,2021-10-15,55,141,1
233,306,2024-04-24,2023-01-06,454,327,3
234,313,2023-10-06,2023-12-14,323,368,3
235,223,2023-11-22,2021-04-16,207,687,1
236,706,2024-04-27,2024-02-09,565,721,2
237,777,2024-03-20,2023-01-06,616,230,3
238,273,2023-12-28,2020-03-30,677,77,4
239,252,2023-09-14,2022-11-25,539,767,5
240,158,2023-09-18,2021-07-23,217,273,1
241,618,2023-11-14,2023-03-06,756,836,2
242,49,2024-02-09,2023-04-27,766,798,1
243,463,2023-10-04,2021-03-04,930,250,3
244,37,2024-01-25,2020-02-14,14,282,4
245,312,2024-02-22,2022-05-01,345,907,3
246,758,2024-05-11,2022-12-21,540,650,4
247,351,2023-11-13,2021-07-01,289,851,2
248,68,2024-03-14,2019-09-23,971,252,2
249,186,2023-09-20,2024-02-11,677,575,4
250,302,2024-02-12,2022-09-09,982,456,5
251,663,2023-07-08,2022-10-14,526,297,5
252,222,2023-07-02,2024-05-16,943,936,4
253,58,2024-03-19,2020-12-11,345,759,3
254,441,2023-05-23,2021-12-09,92,996,1
255,127,2023-11-16,2021-08-06,894,681,5
256,50,2023-10-26,2024-02-03,145,912,2
257,183,2024-05-20,2020-05-09,425,70,3
258,599,2023-06-23,2024-03-19,990,820,5
259,928,2024-04-03,2020-09-03,353,475,1
260,921,2023-12-21,2021-05-16,826,770,4
261,514,2024-03-11,2023-10-26,28,227,5
262,865,2024-02-20,2022-11-28,935,742,2
263,926,2024-03-28,2023-12-27,469,107,3
264,412,2024-04-05,2022-08-12,74,95,2
265,844,2023-08-03,2019-12-08,200,668,4
266,598,2024-01-25,2021-03-16,617,196,5
267,789,2023-12-15,2021-03-19,799,667,4
268,218,2023-11-08,2021-04-08,622,386,1
269,328,2023-12-20,2023-02-20,247,412,5
270,214,2024-05-01,2019-11-20,61,562,1
271,248,2024-05-04,2022-06-26,341,387,2
272,91,2023-09-22,2023-04-30,115,853,2
273,370,2023-07-02,2021-02-19,642,680,3
274,543,2023-12-22,2023-09-27,804,924,1
275,199,2023-11-05,2023-04-25,57,608,1
276,38,2023-08-18,2020-10-07,431,775,1
277,787,2023-08-27,2022-10-01,775,699,2
278,697,2023-06-28,2023-09-04,832,497,1
279,983,2023-06-17,2024-05-13,476,888,3
280,200,2024-04-25,2024-05-02,880,821,1
281,295,2024-03-01,2019-11-29,547,958,5
282,781,2024-02-26,2020-10-31,367,619,2
283,340,2024-01-20,2020-03-27,464,340,3
284,357,2023-08-18,2021-06-23,805,521,2
285,799,2023-12-15,2021-07-18,634,60,3
286,743,2023-08-11,2019-12-19,207,601,5
287,917,2023-11-23,2020-07-12,772,585,1
288,771,2023-12-26,2021-12-25,63,348,5
289,193,2024-01-03,2020-04-13,31,147,2
290,90,2023-10-16,2023-06-28,475,202,5
291,924,2023-11-22,2022-04-15,557,880,4
292,584,2023-12-02,2020-11-17,134,168,5
293,122,2024-01-11,2021-07-10,249,479,4
294,6,2024-01-11,2022-07-18,790,827,2
295,57,2023-11-19,2021-07-18,95,138,5
296,315,2024-03-11,2023-10-04,331,605,1
297,44,2023-12-06,2020-06-07,45,640,1
298,787,2023-12-26,2020-07-10,872,143,2
299,528,2024-04-03,2023-04-16,94,675,2
300,91,2023-05-25,2022-01-25,123,440,4
301,413,2024-03-27,2020-05-23,699,384,1
302,230,2023-10-07,2020-12-14,173,783,1
303,329,2024-04-15,2020-01-31,218,935,3
304,926,2023-07-16,2020-10-30,724,624,2
305,932,2024-01-30,2021-08-14,811,55,1
306,863,2023-06-17,2023-08-05,666,126,2
307,511,2024-04-12,2024-03-11,669,32,4
308,723,2024-02-01,2019-11-21,460,695,3
309,69,2023-08-23,2021-01-22,583,664,2
310,672,2024-02-23,2021-01-21,756,286,5
311,264,2023-07-18,2020-03-05,874,526,1
312,584,2024-01-30,2023-01-22,856,194,3
313,548,2024-03-06,2022-09-29,339,968,5
314,772,2024-04-01,2019-09-28,734,293,3
315,86,2023-05-23,2019-10-06,956,154,2
316,298,2023-11-08,2022-03-05,122,927,3
317,780,2024-04-08,2023-09-14,413,656,1
318,912,2024-02-22,2023-06-24,738,684,2
319,591,2024-05-18,2021-03-21,863,258,4
320,157,2023-08-19,2020-11-25,329,612,4
321,916,2024-01-10,2023-10-12,160,524,5
322,774,2024-01-31,2024-01-26,815,35,4
323,841,2024-04-14,2023-08-12,505,388,4
324,582,2023-07-30,2023-03-28,42,358,3
325,884,2024-02-16,2020-06-16,669,99,3
326,193,2024-04-04,2020-12-24,469,562,2
327,773,2023-09-30,2021-12-29,642,211,2
328,517,2024-03-02,2022-05-26,124,949,1
329,666,2023-06-20,2023-04-16,90,192,1
330,188,2024-02-25,2020-07-02,156,535,2
331,185,2023-06-16,2022-09-07,541,430,3
332,65,2023-08-03,2024-03-29,550,658,5
333,919,2023-06-07,2022-06-20,389,985,4
334,935,2023-09-22,2019-09-05,604,22,4
335,766,2023-11-14,2021-05-07,524,62,1
336,265,2023-07-14,2021-12-27,409,451,1
337,354,2024-01-18,2020-09-30,744,108,1
338,823,2024-04-26,2022-12-20,353,598,1
339,741,2024-03-13,2022-02-17,503,587,3
340,707,2024-02-06,2023-01-27,424,318,3
341,783,2024-05-11,2020-02-05,566,771,2
342,924,2024-01-13,2020-02-04,43,173,3
343,822,2024-04-16,2022-07-06,446,891,4
344,555,2023-09-17,2020-10-28,417,151,1
345,98,2024-04-18,2022-11-03,817,635,5
346,579,2023-07-12,2024-04-28,594,335,1
347,565,2024-04-09,2023-01-30,554,817,4
348,135,2023-10-25,2023-11-23,384,746,3
349,533,2023-12-14,2023-04-27,185,80,5
350,60,2024-05-13,2022-10-05,509,409,3
351,480,2023-12-03,2020-10-15,719,629,5
352,328,2023-10-06,2024-01-08,892,606,3
353,186,2024-02-11,2023-12-21,841,173,1
354,797,2024-05-03,2022-04-08,94,61,3
355,567,2023-12-01,2020-05-26,82,614,1
356,948,2024-04-05,2022-09-17,147,514,2
357,989,2024-02-06,2023-04-04,525,103,3
358,114,2023-10-07,2020-04-08,828,282,2
359,933,2023-09-10,2022-01-05,242,945,3
360,726,2023-05-24,2022-05-30,597,589,3
361,934,2024-03-09,2023-08-29,361,2,2
362,413,2023-09-25,2022-07-14,183,215,3
363,256,2024-01-07,2019-11-17,657,799,4
364,65,2023-06-22,2023-12-06,265,947,4
365,833,2023-11-07,2023-07-09,278,838,1
366,503,2024-04-09,2021-01-29,213,113,1
367,445,2024-05-05,2023-10-19,195,243,3
368,358,2023-12-20,2023-12-30,880,442,4
369,760,2023-11-25,2024-03-03,642,156,3
370,879,2024-01-31,2019-08-25,151,99,3
371,916,2024-02-23,2022-09-23,176,753,2
372,818,2024-02-08,2020-05-13,896,96,2
373,485,2023-06-29,2023-02-05,485,852,5
374,210,2023-06-21,2019-09-29,867,188,2
375,665,2023-12-03,2020-05-16,562,557,3
376,516,2023-10-08,2023-07-22,189,6,5
377,404,2023-07-26,2023-09-24,50,851,3
378,803,2024-03-25,2022-07-23,852,446,3
379,336,2023-07-02,2024-02-10,541,35,1
380,345,2024-04-14,2021-08-03,132,927,4
381,16,2023-11-23,2021-08-17,226,235,5
382,240,2023-12-08,2021-09-05,296,719,1
383,41,2024-03-08,2020-10-26,884,459,2
384,499,2023-07-27,2020-08-16,462,280,2
385,69,2024-05-20,2022-01-11,943,290,4
386,384,2024-01-06,2023-01-02,250,922,5
387,497,2023-09-13,2021-10-03,963,392,2
388,899,2023-11-28,2023-11-23,658,679,5
389,621,2024-01-12,2020-08-27,922,355,3
390,675,2024-02-27,2022-03-06,486,251,5
391,386,2023-08-21,2019-09-27,373,167,1
392,571,2024-05-01,2023-09-28,463,789,4
393,894,2023-07-02,2022-11-30,854,425,4
394,318,2023-08-20,2023-05-29,29,418,3
395,347,2024-03-12,2023-02-24,2,833,5
396,33,2023-06-06,2021-09-08,997,168,3
397,588,2024-01-20,2021-05-05,81,983,2
398,982,2023-10-28,2021-02-18,808,265,5
399,602,2023-08-16,2021-02-11,554,544,2
400,251,2024-04-08,2022-11-07,580,448,4
401,367,2024-03-28,2021-11-06,662,237,1
402,631,2023-08-13,2022-07-14,605,620,4
403,427,2024-03-04,2019-10-08,605,96,5
404,984,2023-09-26,2023-06-08,525,214,2
405,336,2024-04-24,2021-10-24,12,23,2
406,656,2023-06-20,2022-08-02,511,265,1
407,917,2023-05-30,2021-11-11,545,152,3
408,634,2023-10-14,2024-02-03,799,875,5
409,724,2024-04-18,2019-12-19,268,319,1
410,384,2023-10-26,2023-02-16,111,54,2
411,736,2023-11-20,2021-09-02,478,186,1
412,831,2023-10-05,2024-02-05,109,750,5
413,911,2024-05-01,2021-03-14,509,761,1
414,907,2023-12-29,2020-10-11,922,696,2
415,554,2024-01-15,2020-04-26,442,36,5
416,467,2023-08-19,2023-05-31,606,246,3
417,9,2024-04-30,2019-08-12,901,976,1
418,757,2024-04-15,2020-02-17,512,585,3
419,20,2023-05-26,2022-10-21,951,767,5
420,62,2023-09-12,2022-10-03,832,447,3
421,780,2023-10-13,2019-08-18,997,886,5
422,954,2024-04-16,2024-04-14,526,248,3
423,72,2023-10-01,2023-10-29,868,379,1
424,336,2024-02-12,2021-05-08,39,761,4
425,868,2024-04-11,2022-05-20,294,231,3
426,123,2023-10-07,2020-08-01,4,235,4
427,661,2023-09-24,2019-11-20,638,314,2
428,522,2023-10-29,2023-10-26,444,239,3
429,952,2023-10-28,2022-09-15,24,91,1
430,94,2024-02-14,2022-03-14,665,227,4
431,536,2023-06-25,2023-08-13,66,86,2
432,58,2023-09-29,2022-03-09,1,171,1
433,626,2023-11-30,2023-09-03,421,324,2
434,865,2023-10-19,2022-02-11,764,226,3
435,707,2023-11-06,2023-01-19,195,868,3
436,451,2024-04-18,2020-04-20,94,665,3
437,796,2023-08-16,2020-08-14,285,12,5
438,264,2023-06-07,2019-09-28,414,609,1
439,45,2023-12-31,2020-07-16,492,737,3
440,749,2023-10-18,2023-05-27,386,824,5
441,958,2024-03-21,2023-08-15,470,811,5
442,104,2023-05-30,2024-03-20,640,688,1
443,427,2024-04-23,2023-12-12,140,820,2
444,624,2023-11-05,2019-11-20,529,193,5
445,624,2024-03-03,2022-07-06,686,464,3
446,284,2024-02-21,2022-09-11,893,3,1
447,679,2024-02-03,2021-04-25,861,889,4
448,734,2023-10-03,2021-01-01,642,267,5
449,111,2023-12-01,2023-09-07,450,864,5
450,452,2023-05-24,2022-09-28,67,220,5
451,470,2023-05-31,2020-09-17,42,938,4
452,694,2024-01-24,2020-10-04,475,770,2
453,180,2023-08-27,2021-03-20,714,630,4
454,845,2024-04-20,2020-06-19,604,264,4
455,374,2024-03-04,2020-06-22,215,344,5
456,525,2023-07-15,2023-11-06,145,803,1
457,724,2023-09-21,2021-03-05,702,721,1
458,732,2023-12-16,2021-11-30,189,373,3
459,833,2023-07-23,2021-04-06,851,433,3
460,217,2023-07-08,2024-02-02,169,107,4
461,356,2024-03-09,2022-10-26,981,462,1
462,159,2023-07-24,2024-04-14,275,719,4
463,174,2023-12-01,2020-01-09,197,405,2
464,40,2023-11-15,2021-02-17,990,745,4
465,750,2023-05-21,2024-03-06,371,945,5
466,972,2023-11-11,2023-12-09,286,281,4
467,487,2023-12-19,2021-09-29,575,590,3
468,616,2023-06-20,2022-04-17,254,708,5
469,887,2023-12-22,2020-10-03,447,642,5
470,520,2024-05-02,2023-03-23,371,218,2
471,995,2023-06-29,2021-09-28,756,809,1
472,706,2024-02-19,2022-01-22,110,980,3
473,591,2023-12-04,2024-05-06,930,771,2
474,821,2023-06-07,2022-01-02,884,806,5
475,344,2023-09-21,2019-11-06,770,244,1
476,192,2023-07-05,2021-02-16,472,227,5
477,529,2023-05-29,2019-10-16,337,968,5
478,625,2023-11-30,2022-05-22,840,156,5
479,792,2023-05-25,2022-09-03,989,224,2
480,501,2024-01-26,2022-05-02,696,997,4
481,450,2023-09-22,2020-07-29,154,334,2
482,322,2023-09-06,2020-12-27,940,760,4
483,653,2023-08-28,2024-03-01,246,540,3
484,784,2024-03-08,2020-08-22,31,172,1
485,365,2023-08-19,2024-02-19,533,610,5
486,642,2023-11-28,2021-04-09,184,94,1
487,742,2024-04-11,2023-01-14,502,210,1
488,402,2023-06-22,2021-03-10,625,292,5
489,69,2024-04-08,2019-10-06,633,989,4
490,3,2024-01-04,2021-04-25,965,947,1
491,972,2024-03-08,2024-02-06,16,163,3
492,461,2023-11-11,2023-11-20,676,624,1
493,678,2023-11-25,2024-04-19,799,239,4
494,441,2024-02-25,2019-11-06,977,839,2
495,538,2024-02-05,2022-01-12,382,238,2
496,836,2023-09-04,2020-12-02,530,119,5
497,434,2023-11-10,2023-11-15,763,148,5
498,213,2023-05-30,2020-10-12,26,731,2
499,851,2024-01-18,2024-03-24,546,126,4
500,716,2023-06-16,2019-08-05,974,760,3
501,610,2023-06-03,2021-02-12,970,563,5
502,59,2023-05-26,2021-11-29,924,536,3
503,753,2023-08-04,2024-05-20,919,518,5
504,309,2023-10-22,2024-01-07,566,641,4
505,902,2023-12-13,2021-07-17,737,816,1
506,980,2024-04-19,2020-06-22,45,851,3
507,339,2023-07-18,2021-07-31,340,644,4
508,159,2023-11-13,2020-06-17,326,998,4
509,887,2023-11-27,2021-04-09,268,877,4
510,99,2023-05-29,2020-05-01,543,601,2
511,390,2023-08-06,2021-12-07,210,958,4
512,74,2024-05-04,2022-04-20,866,743,4
513,818,2023-11-16,2021-03-15,182,789,4
514,33,2023-10-30,2023-05-07,318,991,2
515,590,2023-07-05,2022-12-07,428,668,2
516,730,2024-04-25,2020-09-11,739,906,2
517,327,2023-11-20,2020-08-25,655,336,4
518,257,2024-04-23,2024-03-26,568,876,3
519,476,2023-08-07,2022-12-20,633,411,1
520,664,2024-02-01,2021-05-22,446,912,3
521,729,2024-01-30,2024-02-08,52,894,1
522,717,2023-05-28,2024-02-02,150,260,5
523,434,2024-03-02,2023-04-09,250,231,3
524,645,2023-09-14,2024-03-07,766,757,4
525,930,2024-02-25,2019-09-16,931,521,1
526,486,2024-03-11,2022-05-07,908,380,3
527,502,2024-03-02,2020-04-26,611,504,4
528,375,2023-07-19,2024-04-15,947,653,4
529,274,2023-10-30,2019-10-14,353,579,4
530,815,2023-07-16,2019-11-30,372,215,2
531,583,2023-11-19,2024-03-04,32,695,5
532,187,2023-11-06,2023-05-02,348,114,4
533,33,2023-11-21,2022-05-13,326,663,1
534,59,2024-01-02,2022-03-31,928,284,3
535,962,2023-12-30,2021-12-31,906,108,5
536,127,2023-08-02,2022-05-20,329,868,5
537,304,2023-12-05,2023-12-22,501,213,2
538,840,2023-07-03,2021-02-17,173,377,5
539,206,2024-01-04,2020-07-17,309,32,1
540,274,2023-10-21,2022-03-08,118,127,3
541,432,2023-10-29,2021-07-30,259,402,4
542,220,2024-02-09,2024-03-23,942,528,4
543,210,2024-01-15,2022-03-04,332,20,1
544,700,2023-11-15,2020-06-27,901,679,4
545,547,2023-09-22,2019-09-26,281,982,1
546,993,2023-09-04,2023-02-15,371,426,3
547,934,2024-04-25,2023-11-13,111,620,3
548,69,2023-07-06,2021-10-29,631,2,3
549,319,2023-06-29,2024-01-18,203,762,5
550,757,2023-06-02,2020-01-13,77,755,2
551,597,2023-09-29,2022-08-03,942,525,1
552,482,2023-08-24,2019-12-02,292,901,1
553,749,2024-02-18,2023-07-31,954,609,5
554,924,2024-05-18,2020-12-04,27,333,1
555,704,2023-07-06,2021-02-10,131,904,5
556,890,2023-05-22,2024-02-01,139,761,2
557,391,2023-08-16,2023-03-05,353,272,1
558,82,2024-05-08,2019-08-19,961,374,4
559,100,2023-07-20,2022-07-30,390,551,3
560,190,2023-06-04,2019-11-21,702,294,1
561,949,2023-08-01,2021-03-10,569,966,5
562,470,2023-12-11,2023-11-30,923,360,2
563,641,2024-05-06,2023-05-18,797,961,2
564,664,2023-07-12,2022-05-14,515,822,5
565,9,2024-04-21,2024-04-30,196,508,5
566,739,2023-09-22,2022-09-05,200,842,5
567,332,2023-12-31,2021-07-16,374,616,1
568,11,2024-05-16,2023-04-22,511,793,2
569,871,2023-10-14,2023-08-25,77,98,5
570,996,2024-04-21,2022-01-04,604,753,5
571,359,2024-02-25,2023-11-05,623,68,4
572,76,2023-10-09,2022-12-03,998,360,1
573,163,2023-06-04,2023-11-20,830,83,3
574,427,2023-09-14,2020-06-04,219,370,2
575,257,2023-06-23,2023-12-23,543,542,1
576,92,2023-11-02,2023-09-11,173,136,5
577,977,2024-01-09,2020-11-17,978,89,3
578,236,2023-10-26,2022-04-29,810,230,4
579,375,2024-04-05,2024-04-19,508,648,3
580,381,2023-11-22,2021-02-13,794,70,2
581,91,2023-08-19,2023-10-23,23,375,4
